r1,r2,r3,r4,t,d1,d2,h,p,freq_ghz,rotation,source
37.9247610335143,22.12734863963917,15.017574922185265,6.753476290143742,1.8079104839889304,3.847858781137397,3.839331242458329,5.743259842882952,191.0791844104423,1.7334404440740836,0,lf_analytical
27.917111820070733,18.58927215069583,12.806954759184787,2.384078822439226,2.2858504500542347,5.536107164335932,2.7884179940917013,8.335039938741707,268.8337228682978,1.5902464527283595,0,lf_analytical
27.11253022621589,15.582859770471297,15.360057426322248,10.479439351149512,0.5318764638444665,1.0164181527382177,1.4355952554544194,9.075608085614066,306.12967677884075,0.5872165005771234,0,lf_analytical
33.926259202892496,31.901202769261808,25.431680441579545,7.87844245419824,0.6528001710283216,1.5175123250453155,1.4406142127710972,6.662352929491902,148.9307699936509,1.1492726499060628,0,lf_analytical
49.48223144415405,30.268306871524583,22.26592989461337,15.158110823962929,1.7175512972879354,5.259379890296303,3.8079179534053216,1.428302488150492,48.10136218470053,1.1130029394089445,0,lf_analytical
37.13314546933545,29.30965692135293,23.028069416788668,14.381092303151569,2.4680903397798426,3.1288405586228185,3.386625974118675,4.874828571329733,175.4148464074233,0.7274200041291562,0,lf_analytical
32.47658807295416,28.953684478079904,17.310327953005242,9.981703693815016,1.631349167677158,5.602469798497319,3.852387259948182,8.183287981615946,156.8629030509313,1.1932178083580598,0,lf_analytical
48.810515132636944,28.50313548091836,10.027991073586026,7.8566312469279325,1.6028559937445974,2.4265376872027304,2.0446036281384403,2.134441919766639,199.211926111276,2.2903815040074496,0,lf_analytical
37.15807628599556,15.851446753461852,14.292276447467728,4.973659664873642,1.4887486850342997,5.787643190969749,3.858013334578836,9.40700783699167,362.46862160629024,1.6747423221141455,0,lf_analytical
47.833841515045485,47.11380180976349,22.39286764773933,2.1423164827957346,1.2240891115685666,4.437677349654444,1.3967615582672477,1.0095133717856015,64.75135725021545,1.0193792090577767,0,lf_analytical
47.18522738815435,31.839298229399876,27.85908541107529,2.265596476284012,0.6541465415204665,4.489985319103216,0.6607272321237514,4.153840826615901,297.11394194311447,1.3502975397858186,0,lf_analytical
46.66719019412976,29.33523088236807,26.07505628341428,7.359267996156189,1.4016380025342463,5.495730535740303,3.32177544969203,1.7047764024797312,83.03802740066035,0.9622548677841843,0,lf_analytical
48.66513312740986,32.076383659621264,16.3039008048026,10.31814336770352,0.9893996106246116,1.6334347447004254,2.3633910733493333,1.2761757659380208,344.4024988180034,2.167856187866807,0,lf_analytical
43.08917554748588,40.53422504651803,20.86388129925258,14.231249198683717,0.8577681949720823,6.091227161451219,4.608651937884494,3.7817700526989846,172.55282087304934,1.397132683998627,0,lf_analytical
42.973858714283615,42.135485982431376,9.046817523624622,3.041612278743707,1.9793859870689416,6.299125764157572,4.8518581893177775,2.7990742561305755,260.86413856840494,1.1764203243631064,0,lf_analytical
42.60134163552205,26.058476618351897,21.14059066882902,14.31219704965918,1.0946223194679705,1.5933779829546202,1.3383807987045553,4.663290582291751,2.7187097592730747,1.2231072465840902,0,lf_analytical
30.676824224681884,26.851198055275685,18.457288966168296,6.379462732244376,1.7954049598927009,4.679513446629446,0.7598471227234271,5.514783961597917,252.0433739843471,1.101352551788371,0,lf_analytical
49.85146493481975,19.27930377433631,9.747686583876154,8.47458079097405,2.070302612101584,6.538150206932533,1.5247372480972474,1.9130731525957143,25.22913134446248,2.117080034306859,0,lf_analytical
36.52797769332346,35.65078178219782,29.75429964640228,17.988870413998914,1.008050947214124,4.27624627825981,2.7949210457766736,2.6300456707794693,283.62832549922274,0.6449621521544778,0,lf_analytical
